kode_wilayah,kode_propinsi,nama_propinsi,kode_dati2,kabupaten,kode_kecamatan,kecamatan,kode_kelurahan,nama_desa,is_active,created_at,updated_at
3303010001,33,Jawa Tengah,03,Purbalingga,010,Kemangkon,001,Kedungbenda,t,2026-07-17 14:15:33.102,2026-07-17 14:15:33.102
3303010002,33,Jawa Tengah,03,Purbalingga,010,Kemangkon,002,Bokol,t,2026-07-17 14:15:33.138,2026-07-17 14:15:33.138
3303010003,33,Jawa Tengah,03,Purbalingga,010,Kemangkon,003,Pelumutan,t,2026-07-17 14:15:33.144,2026-07-17 14:15:33.144
3303010004,33,Jawa Tengah,03,Purbalingga,010,Kemangkon,004,Majatengah,t,2026-07-17 14:15:33.15,2026-07-17 14:15:33.15
3303010005,33,Jawa Tengah,03,Purbalingga,010,Kemangkon,005,Kedunglegok,t,2026-07-17 14:15:33.158,2026-07-17 14:15:33.158
3303010006,33,Jawa Tengah,03,Purbalingga,010,Kemangkon,006,Kemangkon,t,2026-07-17 14:15:33.167,2026-07-17 14:15:33.167
3303010007,33,Jawa Tengah,03,Purbalingga,010,Kemangkon,007,Panican,t,2026-07-17 14:15:33.174,2026-07-17 14:15:33.174
3303010008,33,Jawa Tengah,03,Purbalingga,010,Kemangkon,008,Bakulan,t,2026-07-17 14:15:33.18,2026-07-17 14:15:33.18
3303010009,33,Jawa Tengah,03,Purbalingga,010,Kemangkon,009,Karangkemiri,t,2026-07-17 14:15:33.185,2026-07-17 14:15:33.185
3303010010,33,Jawa Tengah,03,Purbalingga,010,Kemangkon,010,Pegandekan,t,2026-07-17 14:15:33.195,2026-07-17 14:15:33.195
3303010011,33,Jawa Tengah,03,Purbalingga,010,Kemangkon,011,Senon,t,2026-07-17 14:15:33.202,2026-07-17 14:15:33.202
3303010012,33,Jawa Tengah,03,Purbalingga,010,Kemangkon,012,Sumilir,t,2026-07-17 14:15:33.208,2026-07-17 14:15:33.208
3303010013,33,Jawa Tengah,03,Purbalingga,010,Kemangkon,013,Kalialang,t,2026-07-17 14:15:33.213,2026-07-17 14:15:33.213
3303010014,33,Jawa Tengah,03,Purbalingga,010,Kemangkon,014,Karangtengah,t,2026-07-17 14:15:33.219,2026-07-17 14:15:33.219
3303010015,33,Jawa Tengah,03,Purbalingga,010,Kemangkon,015,Muntang,t,2026-07-17 14:15:33.223,2026-07-17 14:15:33.223
3303010016,33,Jawa Tengah,03,Purbalingga,010,Kemangkon,016,Gambarsari,t,2026-07-17 14:15:33.229,2026-07-17 14:15:33.229
3303010017,33,Jawa Tengah,03,Purbalingga,010,Kemangkon,017,Toyareka,t,2026-07-17 14:15:33.234,2026-07-17 14:15:33.234
3303010018,33,Jawa Tengah,03,Purbalingga,010,Kemangkon,018,Jetis,t,2026-07-17 14:15:33.239,2026-07-17 14:15:33.239
3303010019,33,Jawa Tengah,03,Purbalingga,010,Kemangkon,019,Majasem,t,2026-07-17 14:15:33.245,2026-07-17 14:15:33.245
3303020001,33,Jawa Tengah,03,Purbalingga,020,Bukateja,001,Tidu,t,2026-07-17 14:15:33.251,2026-07-17 14:15:33.251
3303020002,33,Jawa Tengah,03,Purbalingga,020,Bukateja,002,Wirasaba,t,2026-07-17 14:15:33.255,2026-07-17 14:15:33.255
3303020003,33,Jawa Tengah,03,Purbalingga,020,Bukateja,003,Kembangan,t,2026-07-17 14:15:33.26,2026-07-17 14:15:33.26
3303020004,33,Jawa Tengah,03,Purbalingga,020,Bukateja,004,Cipawon,t,2026-07-17 14:15:33.265,2026-07-17 14:15:33.265
3303020005,33,Jawa Tengah,03,Purbalingga,020,Bukateja,005,Karangcengis,t,2026-07-17 14:15:33.271,2026-07-17 14:15:33.271
3303020006,33,Jawa Tengah,03,Purbalingga,020,Bukateja,006,Karanggedang,t,2026-07-17 14:15:33.277,2026-07-17 14:15:33.277
3303020007,33,Jawa Tengah,03,Purbalingga,020,Bukateja,007,Karangnangka,t,2026-07-17 14:15:33.283,2026-07-17 14:15:33.283
3303020008,33,Jawa Tengah,03,Purbalingga,020,Bukateja,008,Kutawis,t,2026-07-17 14:15:33.289,2026-07-17 14:15:33.289
3303020009,33,Jawa Tengah,03,Purbalingga,020,Bukateja,009,Kebutuh,t,2026-07-17 14:15:33.294,2026-07-17 14:15:33.294
3303020010,33,Jawa Tengah,03,Purbalingga,020,Bukateja,010,Penaruban,t,2026-07-17 14:15:33.3,2026-07-17 14:15:33.3
3303020011,33,Jawa Tengah,03,Purbalingga,020,Bukateja,011,Kedungjati,t,2026-07-17 14:15:33.307,2026-07-17 14:15:33.307
3303020012,33,Jawa Tengah,03,Purbalingga,020,Bukateja,012,Bukateja,t,2026-07-17 14:15:33.311,2026-07-17 14:15:33.311
3303020013,33,Jawa Tengah,03,Purbalingga,020,Bukateja,013,Majasari,t,2026-07-17 14:15:33.316,2026-07-17 14:15:33.316
3303020014,33,Jawa Tengah,03,Purbalingga,020,Bukateja,014,Bajong,t,2026-07-17 14:15:33.321,2026-07-17 14:15:33.321
3303030001,33,Jawa Tengah,03,Purbalingga,030,Kejobong,001,Bandingan,t,2026-07-17 14:15:33.326,2026-07-17 14:15:33.326
3303030002,33,Jawa Tengah,03,Purbalingga,030,Kejobong,002,Lamuk,t,2026-07-17 14:15:33.33,2026-07-17 14:15:33.33
3303030003,33,Jawa Tengah,03,Purbalingga,030,Kejobong,003,Sokanegara,t,2026-07-17 14:15:33.334,2026-07-17 14:15:33.334
3303030004,33,Jawa Tengah,03,Purbalingga,030,Kejobong,004,Gumiwang,t,2026-07-17 14:15:33.339,2026-07-17 14:15:33.339
3303030005,33,Jawa Tengah,03,Purbalingga,030,Kejobong,005,Krenceng,t,2026-07-17 14:15:33.345,2026-07-17 14:15:33.345
3303030006,33,Jawa Tengah,03,Purbalingga,030,Kejobong,006,Nangkasawit,t,2026-07-17 14:15:33.35,2026-07-17 14:15:33.35
3303030007,33,Jawa Tengah,03,Purbalingga,030,Kejobong,007,Pandansari,t,2026-07-17 14:15:33.355,2026-07-17 14:15:33.355
3303030008,33,Jawa Tengah,03,Purbalingga,030,Kejobong,008,Kejobong,t,2026-07-17 14:15:33.36,2026-07-17 14:15:33.36
3303030009,33,Jawa Tengah,03,Purbalingga,030,Kejobong,009,Langgar,t,2026-07-17 14:15:33.364,2026-07-17 14:15:33.364
3303030010,33,Jawa Tengah,03,Purbalingga,030,Kejobong,010,Timbang,t,2026-07-17 14:15:33.369,2026-07-17 14:15:33.369
3303030011,33,Jawa Tengah,03,Purbalingga,030,Kejobong,011,Nangkod,t,2026-07-17 14:15:33.373,2026-07-17 14:15:33.373
3303030012,33,Jawa Tengah,03,Purbalingga,030,Kejobong,012,Kedarpan,t,2026-07-17 14:15:33.377,2026-07-17 14:15:33.377
3303030013,33,Jawa Tengah,03,Purbalingga,030,Kejobong,013,Pangempon,t,2026-07-17 14:15:33.382,2026-07-17 14:15:33.382
3303040001,33,Jawa Tengah,03,Purbalingga,040,Kaligondang,001,Lamongan,t,2026-07-17 14:15:33.388,2026-07-17 14:15:33.388
3303040002,33,Jawa Tengah,03,Purbalingga,040,Kaligondang,002,Tejasari,t,2026-07-17 14:15:33.392,2026-07-17 14:15:33.392
3303040003,33,Jawa Tengah,03,Purbalingga,040,Kaligondang,003,Cilapar,t,2026-07-17 14:15:33.396,2026-07-17 14:15:33.396
3303040004,33,Jawa Tengah,03,Purbalingga,040,Kaligondang,004,Penolih,t,2026-07-17 14:15:33.401,2026-07-17 14:15:33.401
3303040005,33,Jawa Tengah,03,Purbalingga,040,Kaligondang,005,Sinduraja,t,2026-07-17 14:15:33.405,2026-07-17 14:15:33.405
3303040006,33,Jawa Tengah,03,Purbalingga,040,Kaligondang,006,Selakambang,t,2026-07-17 14:15:33.411,2026-07-17 14:15:33.411
3303040007,33,Jawa Tengah,03,Purbalingga,040,Kaligondang,007,Selanegara,t,2026-07-17 14:15:33.415,2026-07-17 14:15:33.415
3303040008,33,Jawa Tengah,03,Purbalingga,040,Kaligondang,008,Kaligondang,t,2026-07-17 14:15:33.42,2026-07-17 14:15:33.42
3303040009,33,Jawa Tengah,03,Purbalingga,040,Kaligondang,009,Brecek,t,2026-07-17 14:15:33.423,2026-07-17 14:15:33.423
3303040010,33,Jawa Tengah,03,Purbalingga,040,Kaligondang,010,Sempor Lor,t,2026-07-17 14:15:33.427,2026-07-17 14:15:33.427
3303040011,33,Jawa Tengah,03,Purbalingga,040,Kaligondang,011,Penaruban,t,2026-07-17 14:15:33.432,2026-07-17 14:15:33.432
